Collection name='THashList', class='THashList', size=4
 TKey Name = Event_1, Title = object title, Cycle = 1
 TKey Name = Event_2, Title = object title, Cycle = 1
 TKey Name = Event_3, Title = object title, Cycle = 1
 TKey Name = Event_4, Title = object title, Cycle = 1
Collection: Event_1
Number of hits: 91
  trackID: 41  chamberNb: 2  energy deposit[MeV]: 0.00331095  position[mm]: (192.559,139.782,175.494)
  trackID: 94  chamberNb: 2  energy deposit[MeV]: 0.00267513  position[mm]: (192.578,139.765,175.472)
  trackID: 93  chamberNb: 2  energy deposit[MeV]: 0.0016663  position[mm]: (192.338,139.992,175.703)
  trackID: 92  chamberNb: 2  energy deposit[MeV]: 0.00181874  position[mm]: (192.361,140.042,175.734)
  trackID: 40  chamberNb: 2  energy deposit[MeV]: 0.00352878  position[mm]: (190.151,138.605,140.21)
  trackID: 40  chamberNb: 2  energy deposit[MeV]: 0.0124321  position[mm]: (190.166,138.793,140.059)
  trackID: 40  chamberNb: 2  energy deposit[MeV]: 0.00223909  position[mm]: (190.17,138.802,140.072)
  trackID: 95  chamberNb: 2  energy deposit[MeV]: 0.00221502  position[mm]: (190.159,138.613,140.221)
  trackID: 39  chamberNb: 2  energy deposit[MeV]: 0.00847894  position[mm]: (188.487,136.858,118.325)
  trackID: 38  chamberNb: 2  energy deposit[MeV]: 0.00154454  position[mm]: (187.703,136.357,108.684)
  trackID: 37  chamberNb: 2  energy deposit[MeV]: 0.00347723  position[mm]: (185.93,134.841,84.1245)
  trackID: 36  chamberNb: 2  energy deposit[MeV]: 0.00433597  position[mm]: (185.015,134.165,71.4574)
  trackID: 35  chamberNb: 2  energy deposit[MeV]: 0.00870914  position[mm]: (180.601,130.441,11.1594)
  trackID: 34  chamberNb: 2  energy deposit[MeV]: 0.00149274  position[mm]: (180.682,130.426,10.8316)
  trackID: 29  chamberNb: 1  energy deposit[MeV]: 0.00229534  position[mm]: (132.201,88.3855,-657.761)
  trackID: 28  chamberNb: 1  energy deposit[MeV]: 0.00214447  position[mm]: (128.262,84.6948,-696.557)
  trackID: 28  chamberNb: 1  energy deposit[MeV]: 0.00383626  position[mm]: (127.62,85.4719,-696.492)
